"code","c_actual_controller","c_final_controller","c_chairman","c_chairman_secretary","c_legal_representative","c_general_manager"
"600157","王广西","王广西","王广西","李军","王广西","常胜秋"
"600158","国家体育总局","国家体育总局","王卫东","许宁宁","王卫东","王卫东"
"600159","北京市顺义区国有资产监督管理委员会","北京市顺义区国有资产监督管理委员会","马云虎","李铁","马云虎","范学朋"
"600160","浙江省人民政府国有资产监督管理委员会","浙江省人民政府国有资产监督管理委员会","胡仲明","刘云华","胡仲明","韩金铭"
"600161","中国医药集团有限公司","国务院国有资产监督管理委员会","杨晓明","慈翔","付道兴","付道兴"
"600162","刘志强、翟美卿","刘志强、翟美卿","翟美卿","王晶","翟美卿","翟美卿"
"600163","福建省人民政府国有资产监督管理委员会","福建省人民政府国有资产监督管理委员会","张骏","李永和","张骏","王坊坤"
"600165","虞建明","虞建明","高小平","高小平","高小平","陈瑞"
"600166","北京市人民政府国有资产监督管理委员会","北京市人民政府国有资产监督管理委员会","张夕勇","龚敏","张夕勇","巩月琼"
"600167","苏壮强、苏冠荣、苏素玉、苏武雄、苏壮奇","苏壮强、苏冠荣、苏素玉、苏武雄、苏壮奇","苏壮强","刘思生","苏壮强","朱昌一"
"600168","武汉市人民政府国有资产监督管理委员会","武汉市人民政府国有资产监督管理委员会","黄思","李凯","黄思","曹明"
"600169","太原重型机械集团有限公司","山西省人民政府国有资产监督管理委员会","王创民","王晓东","王创民","范卫民"
"600170","上海市国有资产监督管理委员会","上海市国有资产监督管理委员会","徐征","李胜","徐征","卞家骏"
"600171","中国电子信息产业集团有限公司","国务院国有资产监督管理委员会","董浩然","周承捷","董浩然","秦毅"
"600172","乔秋生","乔秋生","乔秋生","郭会","乔秋生","刘建设"
"600173","陈建成,陈嫣妮","陈建成,陈嫣妮","陈嫣妮","马亚军","陈嫣妮","王希全"
"600175","闻掌华","闻掌华","闻掌华","王法彬","闻掌华","陈保印"
"600176","中国建材集团有限公司","国务院国有资产监督管理委员会","曹江林","李畅","曹江林","张毓强"
"600177","李如成","李如成","李如成","刘新宇","李如成","李寒穷"
"600178","中国兵器装备集团有限公司","国务院国有资产监督管理委员会","陈笠宝","王江华","陈笠宝","杨宝全"
"600179","郭东泽、郭东圣","郭东泽、郭东圣","郑少平","荣兴","王经文","王经文"
"600180","万永兴","万永兴","燕刚","张菊芳","燕刚","李群立"
"600182","林美凤、林振伟、陈应毅","林美凤、林振伟、陈应毅","李怀靖","邬晓芳","李怀靖","钱倍奋"
"600183","--","--","刘述峰","唐芙云","刘述峰","陈仁喜"
"600184","中国兵器工业集团有限公司","国务院国有资产监督管理委员会","李克炎","张沛","李克炎","张百锋"
"600185","珠海市人民政府国有资产监督管理委员会","珠海市人民政府国有资产监督管理委员会","鲁君四","邹超","鲁君四","林强"
"600186","顾华梅","顾华梅","王维法","韩安道","王维法","袁启发"
"600187","姜照柏","姜照柏","尹峻","庄建龙","尹峻","丁宏伟"
"600188","山东省人民政府国有资产监督管理委员会","山东省人民政府国有资产监督管理委员会","李希勇","靳庆彬","李希勇","吴向前"
"600189","吉林省人民政府国有资产监督管理委员会","吉林省人民政府国有资产监督管理委员会","姜长龙","时军","姜长龙","王尽晖"
"600190","-","-","徐健","李桂萍","徐健","刘辉"
"600191","明天控股有限公司","肖卫华","宋卫东","李怀庆","宋卫东","赵建忠"
"600192","甘肃省人民政府国有资产监督管理委员会","甘肃省人民政府国有资产监督管理委员会","张志明","何建文","张志明","王小龙"
"600193","陈冠全","陈冠全","翟金水","连福汉","翟金水","阙江阳"
"600195","中国农业发展集团有限公司","国务院国有资产监督管理委员会","王建成","郭亮","王建成","吴冬荀"
"600196","郭广昌","郭广昌","陈启宇","董晓娴","陈启宇","吴以芳"
"600197","新疆生产建设兵团第四师国资委","新疆生产建设兵团第四师国资委","陈智","君洁","陈智","陈双英"
"600198","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","黄志勤","王韶莉","黄志勤","雷信生"
"600199","阜阳市国有资产监督管理委员会","阜阳市国有资产监督管理委员会","宁中伟","金彪","宁中伟","张向阳"
"600200","钱群英","钱群英","赵唯一","陈佳海","钱群英","钱群英"
"600201","-","260.8万","张翀宇","杨钊","张翀宇","张竞"
"600202","哈尔滨市人民政府国有资产监督管理委员会","哈尔滨市人民政府国有资产监督管理委员会","刘铭山","陈维周","刘铭山","陈维周"
"600203","福建省电子信息(集团)有限责任公司","福建省国有资产监督管理委员会","卞志航","许政声","卞志航","温春旺"
"600206","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","熊柏青","杨海","熊柏青","王兴权"
"600207","河南省发展和改革委员会","河南省发展和改革委员会","何毅敏","冯武","何毅敏","陈志刚"
"600208","黄伟","黄伟","林俊波","虞迪锋","林俊波","赵伟卿"
"600209","李维","李维","高松","林丽娟","高松","余前"
"600210","沈雯","沈雯","沈雯","高军","沈雯","郭峰"
"600211","林刚","林刚","陈达彬","刘岚","陈达彬","郭远东"
"600212","徐益明","徐益明","赵彤宇","张谦","赵彤宇","翟宝星"
"600213","山东省人民政府国有资产监督管理委员会","山东省人民政府国有资产监督管理委员会","钱栋","盛卫宁","钱栋","吴永松"
"600215","陈爱莲","陈爱莲","吴锦华","潘笑盈","吴锦华","倪伟勇"
"600216","李春波","李春波","李春波","叶伟东","李春波","吕春雷"
"600217","中华全国供销合作总社","中华全国供销合作总社","管爱国","朱连升","管爱国","李涛"
"600218","全椒县人民政府","全椒县人民政府","谢力","徐明余","谢力","丁维利"
"600219","南山村村民委员会","南山村村民委员会","程仁策","隋冠男","程仁策","吕正风"
"600220","陆克平","陆克平","陈丽芬","赵静","陈丽芬","陈丽芬"
"600221","海南省发展控股有限公司","海南省政府国有资产监督管理委员会","徐军","李晓峰","刘位精","马志敏"
"600222","巩义市竹林镇政府","巩义市竹林镇政府","李景亮","冯海燕","李景亮","罗剑超"
"600223","山东省人民政府国有资产监督管理委员会","山东省人民政府国有资产监督管理委员会","董红林","李璐","董红林","张全立"
"600225","天津市政建设集团有限公司","天津市国有资产监督管理委员会","阎鹏","詹鹏飞","阎鹏","刘新林"
"600226","沈培今","沈培今","沈培今","王旭光","沈培今","孙文秋"
"600227","丁林洪","丁林洪","丁林洪","先正红","丁林洪","丁林洪"
"600228","北京市国有文化资产管理中心","北京市国有文化资产管理中心","李季","李季","李季","卢岐"
"600229","青岛市财政局","青岛市财政局","王为达","马琪","王为达","杨延亮"
"600230","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","谢华生","刘晓婧","谢华生","刘增"
"600231","朝阳市国有资产监督管理委员会","朝阳市国有资产监督管理委员会","文广","王宝杰","文广","马育民"
"600232","傅国定","傅国定","傅国定","韩钧","傅国定","潘明忠"
"600233","喻会蛟、张小娟","喻会蛟、张小娟","喻会蛟","张龙武","喻会蛟","潘水苗"
"600234","吴太交","吴太交","徐啟瑞","戴蓉","徐啟瑞","徐啟瑞"
"600235","嘉兴市国有资产监督管理委员会","嘉兴市国有资产监督管理委员会","曹继华","姚名欢","曹继华","曹继华"
"600236","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","王森","吴育双","王森","李凯"
"600237","应建仁、徐美儿","应建仁、徐美儿","唐忠民","徐文焕","唐忠民","鲍俊华"
"600238","王贵海","王贵海","冯彪","杨鹏","冯彪","冯彪"
"600239","云南省人民政府国有资产监督管理委员会","云南省人民政府国有资产监督管理委员会","杨涛","李映红","杨涛","杜胜"
