股票代码,公司名称
002760,陈晓、陈功林、陈静、陈也寒
002762,林浩亮、林若文
002765,朱堂福、熊敏、朱俊翰
002767,石政民、石义民
002768,王爱国、徐波
002769,广东省广州市人民政府
002770,张清海、许秀云
002773,柯潇、柯尊洪、钟建荣
002774,罗爱文、罗爱明
002775,李从文、赵文凤
002776,陈伟雄、陈娜娜
002777,中国工程物理研究院
002779,吴明根、赵爱娱
002781,叶家豪
002783,荆门市人民政府国有资产监督管理委员会
002786,中国东方资产管理股份有限公司
002787,李志聪、李炳兴、陆杏珍
002792,吴中林、时桂清
002796,韩裕玉、王娟、韩惠明
002798,刘进、陈伟、吴志雄
002800,王普宇、胡晓玲
002810,毕心德、毕文娟、毕于东、杨爱菊
002811,郑忠、邱艾
002812,李晓明、Sherry Lee、Jerry Yang Li、李晓华、惠雁阳、马燕
002815,姜雪飞、朱雪花
002816,覃有倘、龙小明、邹明
002817,余春明、余超彪
002819,中国科学院
002820,天津市河西区人民政府国有资产监督管理委员会
002822,庄小红、庄展诺、庄重
002823,吴瑛、张浩宇
002827,西藏自治区国有资产监督委员会
002829,迟家升、李国盛
002830,蓝继晓、林金成、彭旭文
002831,吴兰兰、王华君
002832,谢秉政、冯玲玲
002833,李茂洪、刘雨华、刘风华
002835,郭立志、刘砥
002836,孟学、张宏清
002838,于晓宁、韩丽梅
002840,朱俭勇、朱俭军
002841,黄正聪、王毅然、孙永辉、于伟、周开琪、尤天远
002845,万锋、钟小平、李锋、刘秋香
002846,翁伟武、翁伟炜、翁伟嘉、翁伟博、蔡沛侬、柯丽婉
002847,张学武、张学文
002850,励建立、励建炬
002857,于文彪、金双寿、刘俊忠
002858,夏青、余朝旭
002860,楼月根、楼勇伟
002861,黄晖、左笋娥
002865,杨氏家族
002866,邹伟民、陈敏
002867,周宗文、周华珍
002869,罗瑞发、刘咏平、杨成、王明宽、李娜、李朝莉
002871,范庆伟、范玉隆
002875,曹璋、王建青
