股票代码,公司名称,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
603619,深圳市创新投资集团有限公司,2501.36万,6.25%,无质押,流通A股,4,2019-11-06
603648,上海外高桥保税区联合发展有限公司,3804.07万,10.32%,-,流通A股,3,2019-09-30
603665,浙江满博投资管理有限公司,556.25万,5.56%,无质押,流通A股,4,2019-09-30
603679,东吴创业投资有限公司,513.89万,5.04%,无质押,流通A股,4,2019-09-30
603701,深圳市创新投资集团有限公司,158.20万,0.78%,-,流通A股,7,2019-09-30
603721,国信弘盛创业投资有限公司,136.30万,1.05%,-,流通A股,7,2019-09-30
603803,海通开元投资有限公司,3210.00万,7.62%,-,流通A股,5,2019-09-30
603822,浙江瓯联创业投资有限公司,365.00万,4.98%,无质押,流通A股,7,2019-09-30
603889,中广核财务有限责任公司,995.23万,1.94%,无质押,流通A股,4,2019-09-30
603908,深圳市创新投资集团有限公司,138.79万,2.08%,无质押,流通A股,3,2019-09-30
603937,深圳市创新投资集团有限公司,218.94万,1.05%,-,流通A股,4,2019-09-30
603980,杭州辽通鼎能股权投资合伙企业(有限合伙),3816.58万,5.45%,-,流通A股,3,2019-09-30
603982,杭州兴富投资管理合伙企业(有限合伙),640.00万,3.20%,-,受限流通股,4,2019-09-30
603993,宁波杉杉创业投资有限公司,4.71亿,2.18%,99.98%,流通A股,7,2019-09-30
688001,华泰创新投资有限公司,138.10万,0.34%,-,"受限流通股,流通A股",6,2019-09-30
688002,深圳市创新投资集团有限公司,2168.83万,4.87%,-,受限流通股,4,2019-09-30
688003,海通创新证券投资有限公司,147.11万,0.76%,-,受限流通股,9,2019-09-30
688012,义乌和谐锦弘股权投资合伙企业(有限合伙),1279.62万,2.39%,-,受限流通股,9,2019-09-30
688016,国泰君安证裕投资有限公司,86.52万,1.20%,-,受限流通股,9,2019-09-30
688018,青岛海尔赛富智慧家庭创业投资中心(有限合伙),90.00万,1.13%,-,受限流通股,10,2019-09-30
688018,北京芯动能投资基金(有限合伙),312.00万,3.90%,-,受限流通股,4,2019-09-30
688019,申银万国创新证券投资有限公司,28.38万,0.53%,-,受限流通股,10,2019-09-30
688028,达晨银雷高新(北京)创业投资有限公司,376.27万,4.70%,-,受限流通股,2,2019-09-30
688029,深圳市中科招商创业投资有限公司,3017.95万,22.63%,-,受限流通股,2,2019-09-30
688030,北京奇虎科技有限公司,540.67万,3.00%,-,受限流通股,6,2019-09-30
688066,北京航天科工军民融合科技成果转化创业投资基金(有限合伙),857.14万,5.16%,-,受限流通股,4,2019-09-30
688068,浙江大健康产业股权投资基金(有限合伙),348.09万,5.60%,-,受限流通股,4,2019-09-30
688099,华域汽车系统(上海)有限公司,2016.50万,4.90%,-,受限流通股,4,2019-09-30
688122,深圳市创新投资集团有限公司,5058.10万,11.46%,-,受限流通股,3,2019-09-30
688168,武汉光谷烽火产业投资基金合伙企业(有限合伙),310.00万,6.06%,-,受限流通股,4,2019-09-30
688199,深圳市创新投资集团有限公司,542.37万,4.88%,-,受限流通股,3,2019-11-05
688310,财通创新投资有限公司,270.30万,3.23%,-,受限流通股,4,2019-12-03
688310,广发乾和投资有限公司,104.50万,1.25%,-,受限流通股,6,2019-12-03
688333,海宁国安精进股权投资合伙企业(有限合伙),240.10万,3.00%,-,受限流通股,7,2019-09-30
832283,嘉兴时玺海一期股权投资基金合伙企业(有限合伙),136.20万,2.16%,-,三板流通A股,6,2019-09-30
