股票代码,申万一级行业
300358,医药生物
300359,传媒
300360,电气设备
300362,机械设备
300363,医药生物
300364,传媒
300365,计算机
300366,计算机
300367,计算机
300368,计算机
300369,计算机
300370,机械设备
300371,机械设备
300373,电子
300374,建筑材料
300375,汽车
300376,电气设备
300377,计算机
300378,计算机
300379,计算机
300380,计算机
300381,医药生物
300382,机械设备
300383,通信
300384,建筑装饰
300385,机械设备
300386,计算机
300387,化工
300388,公用事业
300389,电子
300390,电子
300391,电气设备
300392,传媒
300393,电气设备
300394,通信
300395,有色金属
300396,医药生物
300398,化工
300399,计算机
300400,机械设备
300401,医药生物
300402,机械设备
300403,家用电器
300404,医药生物
300405,化工
300406,医药生物
300407,电气设备
300408,电子
300409,化工
300410,电子
300411,机械设备
300412,机械设备
300413,传媒
300415,机械设备
300416,机械设备
300417,机械设备
300418,传媒
300419,计算机
300420,机械设备
300421,机械设备
300422,公用事业
300423,电气设备
300424,国防军工
300425,公用事业
300426,传媒
300427,电气设备
300428,汽车
300429,化工
300430,机械设备
300431,传媒
300432,汽车
300433,电子
300434,医药生物
300435,机械设备
300436,医药生物
300437,化工
300438,电子
300439,医药生物
300440,计算机
300441,机械设备
300442,机械设备
300443,电气设备
300444,电气设备
300445,机械设备
300446,化工
300447,电气设备
300448,计算机
300449,计算机
300451,计算机
300452,医药生物
300453,医药生物
300454,计算机
300455,计算机
300456,国防军工
300457,机械设备
300458,电子
300459,传媒
300460,电子
300461,机械设备
