机构名称,类型
银河量化价值混合型证券投资基金,基金
长信价值蓝筹两年定期开放灵活配置混合型证券投资基金,基金
长信先优债券型证券投资基金,基金
长信金利趋势混合型证券投资基金,基金
长信银利精选混合型证券投资基金,基金
长城行业轮动灵活配置混合型证券投资基金,基金
长盛互联网+主题灵活配置混合型证券投资基金,基金
长盛动态精选证券投资基金,基金
长盛同庆中证800指数型证券投资基金(LOF),基金
长盛同锦研究精选混合型证券投资基金,基金
长盛国企改革主题灵活配置混合型证券投资基金,基金
长盛新兴成长主题灵活配置混合型证券投资基金,基金
长盛盛丰灵活配置混合型证券投资基金A,基金
长盛转型升级主题灵活配置混合型证券投资基金,基金
鹏华中证800地产指数分级证券投资基金,基金
中科汇通(深圳)股权投资基金有限公司,一般法人
国华人寿保险股份有限公司,保险公司
宁波津原投资有限公司,一般法人
深圳中农大科技投资有限公司,一般法人
深圳丰盈传褀资产管理有限公司,信托公司
上海勤幸投资管理中心(有限合伙),一般法人
交银施罗德中证环境治理指数型证券投资基金(LOF),基金
杭州智耀投资合伙企业(有限合伙),一般法人
杭州环博投资有限公司,一般法人
杭州钱江中小企业创业投资有限公司,一般法人
深圳市博睿意碳源科技有限公司,一般法人
香港中国投资有限公司,一般法人
中证500交易型开放式指数证券投资基金,基金
深圳市人民政府国有资产监督管理委员会,一般法人
深圳市远致投资有限公司,一般法人
北京朴和恒丰投资有限公司,一般法人
北京电子城有限责任公司,一般法人
南通伟易服饰有限公司,一般法人
汉富控股有限公司,一般法人
上海豪石九鼎股权投资基金合伙企业(有限合伙),一般法人
中国国投高新产业投资有限公司,一般法人
北京市海淀区国有资产投资经营有限公司,一般法人
南方中证高铁产业指数分级证券投资基金,基金
工银瑞信中证高铁产业指数分级证券投资基金,基金
长安国际信托股份有限公司-长安信托-长安投资1121号证券投资单一资金信托,一般法人
青岛城投金融控股集团有限公司,一般法人
鹏华中证高铁产业指数分级证券投资基金,基金
鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划,一般法人
鹏华资产-浦发银行-鹏华资产金润28号资产管理计划,一般法人
深圳市宝安区投资管理有限公司,一般法人
深圳市富安控股有限公司,一般法人
上海衍金投资管理有限公司,信托公司
佳源创盛控股集团有限公司,一般法人
信达投资有限公司,一般法人
拉萨鑫宏雅投资咨询有限公司,一般法人
新余瑞达投资有限公司,一般法人
江阴鑫诚业展投资管理企业(有限合伙),一般法人
深圳市德远投资有限公司,信托公司
武汉兴开源电力工程有限公司,一般法人
汕头市置业合信有限公司,一般法人
深圳市投资控股有限公司,一般法人
深国际控股(深圳)有限公司,一般法人
瑞士银行有限公司,QFII
深业沙河(集团)有限公司,一般法人
深圳市盈之泰投资物业管理有限公司,一般法人
深圳市茂安源投资有限公司,一般法人
全国社保基金118组合,社保基金
华侨城集团有限公司,一般法人
九泰基金-九泰慧通定增2号特定客户资产管理计划,一般法人
青海合一实业发展有限公司,一般法人
深圳市福德国有资本运营有限公司,一般法人
渤海证券股份有限公司,券商
中国电子信息产业集团有限公司,一般法人
中证800交易型开放式指数证券投资基金,基金
博旭(香港)有限公司,一般法人
深圳市和沣资产管理有限公司,信托公司
重庆国际信托股份有限公司,信托公司
佳兆业捷信物流(深圳)有限公司,一般法人
