股票代码,pid,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
000524,69910,84.00万,0.31%,流通A股,9,2019-09-30
000525,69911,542.00万,0.94%,流通A股,7,2019-09-30
000525,69912,490.05万,0.85%,流通A股,8,2019-09-30
000526,59877,110.30万,1.15%,流通A股,10,2019-09-30
000526,59878,171.67万,1.78%,流通A股,7,2019-09-30
000526,59879,161.86万,1.68%,流通A股,8,2019-09-30
000526,59880,150.00万,1.56%,流通A股,9,2019-09-30
000529,69913,171.96万,0.30%,流通A股,10,2019-09-30
000529,59882,500.00万,0.88%,流通A股,4,2019-09-30
000529,59883,340.00万,0.60%,流通A股,5,2019-09-30
000529,59884,212.00万,0.37%,流通A股,6,2019-09-30
000529,59885,210.00万,0.37%,流通A股,7,2019-09-30
000529,59881,200.02万,0.35%,流通A股,8,2019-09-30
000529,69914,196.47万,0.34%,流通A股,9,2019-09-30
000530,59886,272.59万,0.32%,流通A股,10,2019-09-30
000530,59887,640.00万,0.76%,流通B股,3,2019-09-30
000530,59888,450.00万,0.54%,流通B股,4,2019-09-30
000530,59889,438.41万,0.52%,流通B股,5,2019-09-30
000530,59890,302.00万,0.36%,流通A股,8,2019-09-30
000530,59891,294.00万,0.35%,流通B股,9,2019-09-30
000531,59892,212.50万,0.31%,流通A股,10,2019-09-30
000531,59893,970.00万,1.42%,流通A股,6,2019-09-30
000531,59894,227.00万,0.33%,流通A股,7,2019-09-30
000531,59895,225.99万,0.33%,流通A股,8,2019-09-30
000531,59896,218.46万,0.32%,流通A股,9,2019-09-30
000532,59897,80.58万,0.23%,流通A股,10,2019-09-30
000532,59898,170.81万,0.50%,流通A股,7,2019-09-30
000532,59899,90.00万,0.26%,流通A股,8,2019-09-30
000532,59900,82.93万,0.24%,流通A股,9,2019-09-30
000533,69915,254.12万,0.37%,流通A股,10,2019-09-30
000533,59902,9290.21万,13.56%,流通A股,2,2019-09-30
000533,59903,5447.21万,7.95%,流通A股,3,2019-09-30
000533,59904,751.60万,1.10%,流通A股,6,2019-09-30
000533,59905,385.57万,0.56%,流通A股,7,2019-09-30
